inchikey,inchikey_connectivity,source_db,source_id,species_reported,species_accepted,plant_part,doi,evidence_tier,query_term,query_date
HGXBRUKMWQGOIE-NSMLZSOPSA-N,HGXBRUKMWQGOIE,ChEMBL,CHEMBL267963,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=pinoresinol,2026-05-28T23:15:56Z
HGXBRUKMWQGOIE-NSMLZSOPSA-N,HGXBRUKMWQGOIE,ChEMBL,CHEMBL487611,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=pinoresinol,2026-05-28T23:15:56Z
HGXBRUKMWQGOIE-NSMLZSOPSA-N,HGXBRUKMWQGOIE,ChEMBL,CHEMBL460862,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=pinoresinol,2026-05-28T23:15:56Z
YJJBMEAGCOFGGM-QIWKOVHQSA-N,YJJBMEAGCOFGGM,ChEMBL,CHEMBL2251617,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=pinoresinol,2026-05-28T23:15:56Z
IKOMYZTZWSQHKE-PEUCKEPFSA-N,IKOMYZTZWSQHKE,ChEMBL,CHEMBL2251618,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=pinoresinol,2026-05-28T23:15:56Z
LVCYOGTWEKMMSO-PMGFHEBOSA-N,LVCYOGTWEKMMSO,ChEMBL,CHEMBL2251619,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=pinoresinol,2026-05-28T23:15:56Z
HGXBRUKMWQGOIE-NSMLZSOPSA-N,HGXBRUKMWQGOIE,ChEMBL,CHEMBL2252392,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=pinoresinol,2026-05-28T23:15:56Z
KDWYPRNOEMXUNA-UHFFFAOYSA-N,KDWYPRNOEMXUNA,ChEMBL,CHEMBL550166,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=magnaldehyde,2026-05-28T23:15:56Z
NULLTEXOKIQKBN-UHFFFAOYSA-N,NULLTEXOKIQKBN,ChEMBL,CHEMBL2346745,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=magnaldehyde,2026-05-28T23:15:56Z
KGHJODCHEIEYBP-HWKANZROSA-N,KGHJODCHEIEYBP,ChEMBL,CHEMBL242530,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=obovatal,2026-05-28T23:15:56Z
IBFLDAUDRHDONN-HNNXBMFYSA-O,IBFLDAUDRHDONN,ChEMBL,CHEMBL225851,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=dicentrine,2026-05-28T23:15:56Z
OUTYMWDDJORZOH-AWEZNQCLSA-N,OUTYMWDDJORZOH,ChEMBL,CHEMBL404136,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=dicentrine,2026-05-28T23:15:56Z
YJWBWQWUHVXPNC-AWEZNQCLSA-N,YJWBWQWUHVXPNC,ChEMBL,CHEMBL464748,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=dicentrine,2026-05-28T23:15:56Z
HIZKFQOZVOUKDP-UHFFFAOYSA-N,HIZKFQOZVOUKDP,ChEMBL,CHEMBL456942,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=dicentrine,2026-05-28T23:15:56Z
QQKAHDMMPBQDAC-UHFFFAOYSA-N,QQKAHDMMPBQDAC,ChEMBL,CHEMBL36496,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=nornuciferine,2026-05-28T23:15:56Z
JFJZZMVDLULRGK-URLMMPGGSA-O,JFJZZMVDLULRGK,ChEMBL,CHEMBL339427,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=tubocurarine,2026-05-28T23:15:56Z
MZTXBESCVZFFQE-URLMMPGGSA-O,MZTXBESCVZFFQE,ChEMBL,CHEMBL2063769,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=tubocurarine,2026-05-28T23:15:56Z
JFJZZMVDLULRGK-URLMMPGGSA-O,JFJZZMVDLULRGK,ChEMBL,CHEMBL3989821,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=tubocurarine,2026-05-28T23:15:56Z
WCERJEZPIONOJU-LHEXPUQLSA-N,WCERJEZPIONOJU,ChEMBL,CHEMBL156339,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=magnosalin,2026-05-28T23:15:56Z
OYTCTPHTVUEGCL-GCPOEHJPSA-N,OYTCTPHTVUEGCL,ChEMBL,CHEMBL251059,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=sinapaldehyde,2026-05-28T23:15:56Z
RDJAFOWISVMOJY-PWNZVWSESA-N,RDJAFOWISVMOJY,ChEMBL,CHEMBL449579,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=micheliolide,2026-05-28T23:15:56Z
ZPBIJIIQXPRJSS-WNZSCWOMSA-N,ZPBIJIIQXPRJSS,ChEMBL,CHEMBL2206429,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=micheliolide,2026-05-28T23:15:56Z
VDGOFNMYZYBUDT-YDRCMHEVSA-N,VDGOFNMYZYBUDT,ChEMBL,CHEMBL218534,Magnolia sp.,Magnolia sp.,,,silver,assay:CHEMBL943219,2026-05-28T23:15:56Z
VDGOFNMYZYBUDT-YDRCMHEVSA-N,VDGOFNMYZYBUDT,ChEMBL,CHEMBL469926,Magnolia sp.,Magnolia sp.,,,silver,assay:CHEMBL943219,2026-05-28T23:15:56Z
APKFDSVGJQXUKY-INPOYWNPSA-N,APKFDSVGJQXUKY,ChEMBL,CHEMBL267345,Magnolia sp.,Magnolia sp.,,,silver,assay:CHEMBL943219,2026-05-28T23:15:56Z
JJWCPVLNGCKJFV-KJWHEZOQSA-N,JJWCPVLNGCKJFV,COCONUT,CNP0238242.1,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
PQVMQKAGJGBKQC-ZDUSSCGKSA-O,PQVMQKAGJGBKQC,COCONUT,CNP0584263.1,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
XZKNRQNOZWYUMT-XFMPKHEZSA-N,XZKNRQNOZWYUMT,COCONUT,CNP0167906.4,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
UMRPOGLIBDXFNK-XHBBUUIDSA-N,UMRPOGLIBDXFNK,COCONUT,CNP0198240.1,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
WDJOGJXRIXJSCD-LDCMCGJDSA-N,WDJOGJXRIXJSCD,COCONUT,CNP0269209.1,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
LVVKXRQZSRUVPY-OAHLLOKOSA-N,LVVKXRQZSRUVPY,COCONUT,CNP0183208.1,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
IWNCBADONFSAAW-GZUVQALYSA-N,IWNCBADONFSAAW,COCONUT,CNP0369094.2,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
JXWKCIXVIBYKKR-AVIFXLABSA-N,JXWKCIXVIBYKKR,COCONUT,CNP0124576.2,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
JLMUSMSEIUWJJB-YZRASEIHSA-N,JLMUSMSEIUWJJB,COCONUT,CNP0322364.2,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
NPJICTMALKLTFW-RXWPAVHTSA-N,NPJICTMALKLTFW,COCONUT,CNP0324146.54,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
WRHGORWNJGOVQY-RRFJBIMHSA-N,WRHGORWNJGOVQY,COCONUT,CNP0123983.8,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
MKGZDUKUQPPHFM-XJZKHKOHSA-N,MKGZDUKUQPPHFM,COCONUT,CNP0314029.4,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
QVLJMPBNVQXYEL-UHFFFAOYSA-N,QVLJMPBNVQXYEL,COCONUT,CNP0227441.0,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
OQFHJKZVOALSPV-UHFFFAOYSA-N,OQFHJKZVOALSPV,COCONUT,CNP0327078.0,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
PEUUVVGQIVMSAW-RZTYQLBFSA-N,PEUUVVGQIVMSAW,COCONUT,CNP0163646.3,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
LBVRQJWOZIMWNY-ZJUUUORDSA-N,LBVRQJWOZIMWNY,COCONUT,CNP0158355.1,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
WHFHDVDXYKOSKI-UHFFFAOYSA-N,WHFHDVDXYKOSKI,COCONUT,CNP0084147.0,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
HGXBRUKMWQGOIE-NSMLZSOPSA-N,HGXBRUKMWQGOIE,COCONUT,CNP0282729.8,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
AYXPYQRXGNDJFU-GGZSWOCBSA-N,AYXPYQRXGNDJFU,COCONUT,CNP0210398.26,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
FCSRUSQUAVXUKK-ILWWEHDPSA-N,FCSRUSQUAVXUKK,COCONUT,CNP0106573.4,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
AYXPYQRXGNDJFU-GGZSWOCBSA-N,AYXPYQRXGNDJFU,COCONUT,CNP0210398.30,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
FBSKJMQYURKNSU-BZDDUMIESA-N,FBSKJMQYURKNSU,COCONUT,CNP0241232.29,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
HCXVJBMSMIARIN-ZIXJQKCJSA-N,HCXVJBMSMIARIN,COCONUT,CNP0389131.40,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
JETDBUNSPWMQCY-BLVKFPJESA-N,JETDBUNSPWMQCY,COCONUT,CNP0188379.2,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
HCXVJBMSMIARIN-ZIXJQKCJSA-N,HCXVJBMSMIARIN,COCONUT,CNP0389131.43,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
HRLFUIXSXUASEX-QDGJQWLKSA-N,HRLFUIXSXUASEX,COCONUT,CNP0264911.2,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
DAUAQNGYDSHRET-UHFFFAOYSA-N,DAUAQNGYDSHRET,COCONUT,CNP0328859.0,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
CJJAHMHXACHEGV-MRXNPFEDSA-N,CJJAHMHXACHEGV,COCONUT,CNP0162689.1,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
KZJWDPNRJALLNS-RBSBQHFOSA-N,KZJWDPNRJALLNS,COCONUT,CNP0236620.49,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
SFPWDWLORNWKSK-ZYIYBEKCSA-N,SFPWDWLORNWKSK,COCONUT,CNP0220532.3,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
FBSKJMQYURKNSU-BZDDUMIESA-N,FBSKJMQYURKNSU,COCONUT,CNP0241232.5,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
PLSSEPIRACGCBO-MJDBTJCESA-N,PLSSEPIRACGCBO,COCONUT,CNP0293160.10,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
FKBUODICGDOIGB-CXOVXGEYSA-N,FKBUODICGDOIGB,COCONUT,CNP0414135.8,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
IKGXIBQEEMLURG-ZJKVUYBZSA-N,IKGXIBQEEMLURG,COCONUT,CNP0268715.27,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
RTATXGUCZHCSNG-NQXWDQFTSA-N,RTATXGUCZHCSNG,COCONUT,CNP0222584.16,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
NPJICTMALKLTFW-RXWPAVHTSA-N,NPJICTMALKLTFW,COCONUT,CNP0324146.35,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
FKBUODICGDOIGB-CXOVXGEYSA-N,FKBUODICGDOIGB,COCONUT,CNP0414135.10,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
HKODIGSRFALUTA-LOBRPSOCSA-N,HKODIGSRFALUTA,COCONUT,CNP0202525.18,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
JXWKCIXVIBYKKR-AVIFXLABSA-N,JXWKCIXVIBYKKR,COCONUT,CNP0124576.4,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
HSMDOSKNXLVXIP-QVEMZERUSA-N,HSMDOSKNXLVXIP,COCONUT,CNP0173484.2,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
NVEQFIOZRFFVFW-BHPKHCPMSA-N,NVEQFIOZRFFVFW,COCONUT,CNP0274815.3,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
QDCGSCBAIQIGDY-RGLYEPCHSA-N,QDCGSCBAIQIGDY,COCONUT,CNP0172068.3,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
HKODIGSRFALUTA-LOBRPSOCSA-N,HKODIGSRFALUTA,COCONUT,CNP0202525.6,Magnolia sp.,Magnolia sp.,,,silver,inchikey,2026-05-28T23:04:50Z
