compound_name,canonical_smiles,inchi,inchikey,molecular_formula,molecular_weight,source_db,source_id,species,plant_part,doi,evidence_tier,query_term,query_date
Linalyl acetate,,,,C12H20O2,0.0,KNApSAcK,C00003048,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
alpha-Phellandrene,,,,C10H16,0.0,KNApSAcK,C00003051,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Piperitone,,,,C10H16O,0.0,KNApSAcK,C00003054,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
alpha-Terpinene,,,,C10H16,0.0,KNApSAcK,C00003060,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
gamma-Terpinene,,,,C10H16,0.0,KNApSAcK,C00003061,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
beta-Caryophyllene,,,,C15H24,0.0,KNApSAcK,C00003110,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
beta-Caryophyllene,,,,C15H24,0.0,KNApSAcK,C00003110,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
alpha-Cedrene,,,,C15H24,0.0,KNApSAcK,C00003111,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
alpha-Copaene,,,,C15H24,0.0,KNApSAcK,C00003118,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
alpha-Farnesene,,,,C15H24,0.0,KNApSAcK,C00003130,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
"trans,trans-Farnesol",,,,C15H26O,0.0,KNApSAcK,C00003132,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Guaiazulene,,,,C15H18,0.0,KNApSAcK,C00003138,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Guaiol,,,,C15H26O,0.0,KNApSAcK,C00003139,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
alpha-Caryophyllene (obsol.),,,,C15H24,0.0,KNApSAcK,C00003147,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Longifolene,,,,C15H24,0.0,KNApSAcK,C00003162,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Patchouli alcohol,,,,C15H26O,0.0,KNApSAcK,C00003168,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
cis-alpha-Santalol,,,,C15H24O,0.0,KNApSAcK,C00003182,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Artemorin,,,,C15H20O3,0.0,KNApSAcK,C00003222,Magnolia grandiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
